date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:29	174375/174375	---M--	200	added ('OK')	image/jpeg	etag:%22ec0282-2a927-5c8bd5cfcd180%22	https://intamarque.com/wp-content/uploads/2021/08/export.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/export.jpg	(from https://intamarque.com/)
16:29:30	5290/5290	---M--	200	added ('OK')	image/svg+xml	etag:%22ec027d-14aa-5c8bd5cde4d00%22	https://intamarque.com/wp-content/uploads/2021/08/export-1.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/export-1.svg	(from https://intamarque.com/)
16:29:30	206494/206494	---M--	200	added ('OK')	image/png	etag:%22ec006c-3269e-5c8bd4e532800%22	https://intamarque.com/wp-content/uploads/2021/06/Service-05V2.png	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-05V2.png	(from https://intamarque.com/)
16:29:30	1704730/1704730	---M--	200	added ('OK')	image/jpeg	etag:%22ec02b0-1a031a-5c8bd5e3d40c0%22	https://intamarque.com/wp-content/uploads/2021/08/Intamarque-Video-Still-2.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/Intamarque-Video-Still-2.jpg	(from https://intamarque.com/)
16:29:30	1068/1068	---M--	200	added ('OK')	image/svg+xml	etag:%22ec007b-42c-5c8bd4e9f7340%22	https://intamarque.com/wp-content/uploads/2021/06/webshop.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/webshop.svg	(from https://intamarque.com/)
16:29:31	151699/151699	---M--	200	added ('OK')	image/jpeg	etag:%22ec0313-25093-5c8bd61383140%22	https://intamarque.com/wp-content/uploads/2021/08/packaging.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/packaging.jpg	(from https://intamarque.com/)
16:29:31	2613/2613	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0078-a35-5c8bd4e9f7340%22	https://intamarque.com/wp-content/uploads/2021/06/Service-Icon-06.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-Icon-06.svg	(from https://intamarque.com/)
16:29:31	151833/151833	---M--	200	added ('OK')	image/jpeg	etag:%22ec00db-25119-5c8bd50f28b00%22	https://intamarque.com/wp-content/uploads/2021/07/documentation-.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/documentation-.jpg	(from https://intamarque.com/)
16:29:31	2834/2834	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0079-b12-5c8bd4e9f7340%22	https://intamarque.com/wp-content/uploads/2021/06/Service-Icon-07.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-Icon-07.svg	(from https://intamarque.com/)
16:29:32	138719/138719	---M--	200	added ('OK')	image/jpeg	etag:%22ec0265-21ddf-5c8bd5bf96b40%22	https://intamarque.com/wp-content/uploads/2021/08/contact.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/contact.jpg	(from https://intamarque.com/)
